date,product_id,category,price,quantity,week,day_of_week,month,is_weekend,revenue,revenue_tplus1
2024-01-01,1001,frozen,5.54236833765044,33,1,0,1,0,182.8981551424645,70.58892527589992
2024-01-01,1025,snacks,7.058892527589993,10,1,0,1,0,70.58892527589992,18.15965782368647
2024-01-01,1024,snacks,9.079828911843235,2,1,0,1,0,18.15965782368647,74.81201244565503
2024-01-01,1023,frozen,9.351501555706879,8,1,0,1,0,74.81201244565503,57.74003869702875
2024-01-01,1022,cleaning,2.7495256522394644,21,1,0,1,0,57.74003869702875,82.89418654203779
2024-01-01,1021,drinks,5.526279102802519,15,1,0,1,0,82.89418654203779,339.0515156003254
2024-01-01,1020,frozen,8.269549160983546,41,1,0,1,0,339.0515156003254,172.81247095982653
2024-01-01,1018,cleaning,12.343747925701894,14,1,0,1,0,172.81247095982653,539.7945992109742
2024-01-01,1017,frozen,17.993153307032472,30,1,0,1,0,539.7945992109742,225.5461563708025
2024-01-01,1016,drinks,13.267420962988382,17,1,0,1,0,225.5461563708025,116.01054774624777
2024-01-01,1015,frozen,12.890060860694197,9,1,0,1,0,116.01054774624777,336.9217604528653
2024-01-01,1014,drinks,14.648772193602841,23,1,0,1,0,336.9217604528653,119.6881162796652
2024-01-01,1019,snacks,7.97920775197768,15,1,0,1,0,119.6881162796652,175.4469890115074
2024-01-01,1012,breakfast,17.544698901150742,10,1,0,1,0,175.4469890115074,108.04419354126321
2024-01-01,1013,cleaning,18.007365590210537,6,1,0,1,0,108.04419354126321,65.36408445501766
2024-01-01,1003,breakfast,3.112575450238936,21,1,0,1,0,65.36408445501766,280.06144727878933
2024-01-01,1004,cleaning,18.67076315191929,15,1,0,1,0,280.06144727878933,0.0
2024-01-01,1005,cleaning,11.096726163065227,0,1,0,1,0,0.0,73.3750125013796
2024-01-01,1006,drinks,9.17187656267245,8,1,0,1,0,73.3750125013796,342.0666113881285
2024-01-01,1002,cleaning,13.156408130312634,26,1,0,1,0,342.0666113881285,189.0354175405754
2024-01-01,1008,breakfast,14.541185964659645,13,1,0,1,0,189.0354175405754,174.61667644655034
2024-01-01,1009,breakfast,8.315079830788111,21,1,0,1,0,174.61667644655034,40.06155517339558
2024-01-01,1010,cleaning,13.353851724465194,3,1,0,1,0,40.06155517339558,291.1118272756945
2024-01-01,1011,frozen,12.129659469820606,24,1,0,1,0,291.1118272756945,425.66820187423
2024-01-01,1007,breakfast,19.34855463064682,22,1,0,1,0,425.66820187423,23.266453837789754
2024-01-02,1015,frozen,11.633226918894877,2,1,1,1,0,23.266453837789754,254.30406791074114
2024-01-02,1016,drinks,12.109717519559101,21,1,1,1,0,254.30406791074114,638.006192429415
2024-01-02,1017,frozen,21.2668730809805,30,1,1,1,0,638.006192429415,102.86041564889541
2024-01-02,1018,cleaning,12.857551956111926,8,1,1,1,0,102.86041564889541,81.81526325779129
2024-01-02,1019,snacks,6.817938604815941,12,1,1,1,0,81.81526325779129,62.84273172142858
2024-01-02,1022,cleaning,2.618447155059524,24,1,1,1,0,62.84273172142858,98.88511144380375
2024-01-02,1021,drinks,5.204479549673882,19,1,1,1,0,98.88511144380375,67.26717373803434
2024-01-02,1023,frozen,9.60959624829062,7,1,1,1,0,67.26717373803434,25.951189156765444
2024-01-02,1024,snacks,8.650396385588481,3,1,1,1,0,25.951189156765444,76.63153072957223
2024-01-02,1025,snacks,7.663153072957224,10,1,1,1,0,76.63153072957223,315.59288829285407
2024-01-02,1020,frozen,7.697387519337904,41,1,1,1,0,315.59288829285407,377.8295211351804
2024-01-02,1014,drinks,15.74289671396585,24,1,1,1,0,377.8295211351804,79.11461336153157
2024-01-02,1006,drinks,8.79051259572573,9,1,1,1,0,79.11461336153157,238.07589284791953
2024-01-02,1012,breakfast,19.83965773732663,12,1,1,1,0,238.07589284791953,222.28554187701047
2024-01-02,1013,cleaning,17.098887836693113,13,1,1,1,0,222.28554187701047,345.65545399280586
2024-01-02,1002,cleaning,12.802053851585402,27,1,1,1,0,345.65545399280586,58.30650478078307
2024-01-02,1003,breakfast,3.0687634095148986,19,1,1,1,0,58.30650478078307,171.8767734655122
2024-01-02,1004,cleaning,17.18767734655122,10,1,1,1,0,171.8767734655122,59.03986788671796
2024-01-02,1005,cleaning,9.83997798111966,6,1,1,1,0,59.03986788671796,175.77612085398442
2024-01-02,1001,frozen,5.859204028466148,30,1,1,1,0,175.77612085398442,275.3483926592748
2024-01-02,1007,breakfast,18.356559510618318,15,1,1,1,0,275.3483926592748,83.41296094524041
2024-01-02,1008,breakfast,13.902160157540068,6,1,1,1,0,83.41296094524041,153.6654655642937
